"huc8","date","year","month","year_wtr","mng_medhigh_10yr_pct","BurnSev34_10yr_pct","et_mean","tmean","prcp_sum","swe_mean","sum_cap_af","elevation","pop_den","weighted_median_income","project","inflow_wtr_mm"
15030101,2010-01-01,2010,1,2010,0,0,10.2699710953121,10.2611524406793,9.20367119251751,0.0126102305948734,6300,0,26.3462120433062,29525.8622083054,0,17.9734905440416
15030101,2010-02-01,2010,2,2010,0,0,13.1339317109722,12.9783363929162,9.98195263291162,0,6300,0,26.3462120433062,29525.8622083054,0,9.37419472429712
15030101,2010-03-01,2010,3,2010,0,0,9.17162601292702,17.5484970963623,1.97108810715201,0,6300,0,26.3462120433062,29525.8622083054,0,7.19563002690984
15030101,2010-04-01,2010,4,2010,0,0,0.284247434148482,23.3882275312375,NA,0,6300,0,26.3462120433062,29525.8622083054,0,2.81810585400291
15030101,2010-05-01,2010,5,2010,0,0,0.0020053113291552,26.517230610812,NA,0,6300,0,26.3462120433062,29525.8622083054,0,0
15030101,2010-06-01,2010,6,2010,0,0,0.0407594566770241,32.177907010592,0.114945452616523,0,6300,0,26.3462120433062,29525.8622083054,0,0.288397154000397
15030101,2010-07-01,2010,7,2010,0,0,1.92655049601647,34.19984954001,2.26993792642549,0,6300,0,26.3462120433062,29525.8622083054,0,7.48882716398276
15030101,2010-08-01,2010,8,2010,0,0,11.1095081228673,35.5480301849895,12.3382204348515,0,6300,0,26.3462120433062,29525.8622083054,0,15.6997835501355
15030101,2010-09-01,2010,9,2010,0,0,2.18917468134012,32.5458157583384,0.966953966037338,0,6300,0,26.3462120433062,29525.8622083054,0,1.8973031899287
15030101,2010-10-01,2010,10,2011,0,0,0.805656780498908,21.2428941523171,0.683234113437514,0,6300,0,26.3462120433062,29525.8622083054,0,4.88431200940215
15030101,2010-11-01,2010,11,2011,0,0,0.0919274301688864,17.4194506209936,0.0428648007265053,0,6300,0,26.3462120433062,29525.8622083054,0,8.5194469992957
15030101,2010-12-01,2010,12,2011,0,0,2.57195973391272,11.9024405656914,3.05021607994566,0,6300,0,26.3462120433062,29525.8622083054,0,19.8872332811402
15030101,2011-01-01,2011,1,2011,0,0,20.2847662050993,11.0266310320303,27.5289174943943,0,6300,0,26.3462120433062,29525.8622083054,0,17.9734905440416
15030101,2011-02-01,2011,2,2011,0,0,18.9506465524435,11.5979836516328,23.6549456593101,0,6300,0,26.3462120433062,29525.8622083054,0,9.37419472429712
15030101,2011-03-01,2011,3,2011,0,0,11.0761235356331,16.5516243075615,0.925810929919232,0,6300,0,26.3462120433062,29525.8622083054,0,7.19563002690984
15030101,2011-04-01,2011,4,2011,0,0,2.92770764912569,22.2921884859526,2.49890843167969,0,6300,0,26.3462120433062,29525.8622083054,0,2.81810585400291
15030101,2011-05-01,2011,5,2011,0,0,1.01858319432532,26.9343192278008,1.10009113388758,0,6300,0,26.3462120433062,29525.8622083054,0,0
15030101,2011-06-01,2011,6,2011,0,0,1.03445276142369,29.3060092867338,1.74291019869403,0,6300,0,26.3462120433062,29525.8622083054,0,0.288397154000397
15030101,2011-07-01,2011,7,2011,0,0,1.81344850474532,35.0883444509199,1.58758336038213,0,6300,0,26.3462120433062,29525.8622083054,0,7.48882716398276
15030101,2011-08-01,2011,8,2011,0,0,28.340845891984,32.3382658851946,44.7280553007135,0,6300,0,26.3462120433062,29525.8622083054,0,15.6997835501355
15030101,2011-09-01,2011,9,2011,0,0,61.5096056580544,29.3334408412835,71.9711372284986,0,6300,0,26.3462120433062,29525.8622083054,0,1.8973031899287
15030101,2011-10-01,2011,10,2012,0,0,14.5908024508793,24.5118021546168,0.958364343218676,0,6300,0,26.3462120433062,29525.8622083054,0,4.88431200940215
15030101,2011-11-01,2011,11,2012,0,0,8.8358394873929,14.3561919853015,11.8034578862512,0,6300,0,26.3462120433062,29525.8622083054,0,8.5194469992957
15030101,2011-12-01,2011,12,2012,0,0,8.9417493304381,11.2119643142738,9.71583287759957,0,6300,0,26.3462120433062,29525.8622083054,0,19.8872332811402
15030101,2012-01-01,2012,1,2012,0,0,16.7257076676648,12.6761885422927,28.4507370473051,0,6300,0,26.3462120433062,29525.8622083054,0,17.9734905440416
15030101,2012-02-01,2012,2,2012,0,0,12.9084237174346,14.4538023607168,NA,0,6300,0,26.3462120433062,29525.8622083054,0,9.37419472429712
15030101,2012-03-01,2012,3,2012,0,0,12.580746326115,21.9101321918498,16.5063717378186,0,6300,0,26.3462120433062,29525.8622083054,0,7.19563002690984
15030101,2012-04-01,2012,4,2012,0,0,14.5853955096923,20.9355417104868,8.85982198302232,0,6300,0,26.3462120433062,29525.8622083054,0,2.81810585400291
15030101,2012-05-01,2012,5,2012,0,0,1.74532820915811,26.1686047802493,0.727966617552766,0,6300,0,26.3462120433062,29525.8622083054,0,0
15030101,2012-06-01,2012,6,2012,0,0,0.0657828139579784,30.6692099468525,0.167900872132745,0,6300,0,26.3462120433062,29525.8622083054,0,0.288397154000397
15030101,2012-07-01,2012,7,2012,0,0,0.423904151880533,35.1976993532394,0.464797411496152,0,6300,0,26.3462120433062,29525.8622083054,0,7.48882716398276
15030101,2012-08-01,2012,8,2012,0,0,7.97880242180992,34.8193858106439,9.06468687656911,0,6300,0,26.3462120433062,29525.8622083054,0,15.6997835501355
15030101,2012-09-01,2012,9,2012,0,0,6.32706565640127,32.1800832973383,5.40122911768411,0,6300,0,26.3462120433062,29525.8622083054,0,1.8973031899287
15030101,2012-10-01,2012,10,2013,0,0,0.224755925472508,23.1537711169524,0.314895644869295,0,6300,0,26.3462120433062,29525.8622083054,0,4.88431200940215
15030101,2012-11-01,2012,11,2013,0,0,10.2698236217023,15.6707577749399,16.1269985539534,0,6300,0,26.3462120433062,29525.8622083054,0,8.5194469992957
15030101,2012-12-01,2012,12,2013,0,0,8.13016649882954,11.5324094710812,8.21034037408702,0,6300,0,26.3462120433062,29525.8622083054,0,19.8872332811402
15030101,2013-01-01,2013,1,2013,0,0,21.0665427831503,8.19558629492674,46.4743084234333,0.021451972424984,6300,0,26.3462120433062,29525.8622083054,0,17.9734905440416
15030101,2013-02-01,2013,2,2013,0,0,21.4434958476287,12.6737030448495,23.4663842453149,0,6300,0,26.3462120433062,29525.8622083054,0,9.37419472429712
15030101,2013-03-01,2013,3,2013,0,0,24.1742440088437,16.2724101253538,0.384564422401734,0,6300,0,26.3462120433062,29525.8622083054,0,7.19563002690984
15030101,2013-04-01,2013,4,2013,0,0,5.84902657052479,19.8886120370719,1.7904462183338,0,6300,0,26.3462120433062,29525.8622083054,0,2.81810585400291
15030101,2013-05-01,2013,5,2013,0,0,0.10376345408442,27.5044789657403,NA,0,6300,0,26.3462120433062,29525.8622083054,0,0
15030101,2013-06-01,2013,6,2013,0,0,0.264107136378642,32.9376947334486,0.354526906258238,0,6300,0,26.3462120433062,29525.8622083054,0,0.288397154000397
15030101,2013-07-01,2013,7,2013,0,0,4.5962332362088,35.6572607830796,5.77559945392243,0,6300,0,26.3462120433062,29525.8622083054,0,7.48882716398276
15030101,2013-08-01,2013,8,2013,0,0,38.8070216576162,32.3499046382478,47.5550562266233,0,6300,0,26.3462120433062,29525.8622083054,0,15.6997835501355
15030101,2013-09-01,2013,9,2013,0,0,25.9004710114346,30.3950968502729,115.353252846256,0,6300,0,26.3462120433062,29525.8622083054,0,1.8973031899287
15030101,2013-10-01,2013,10,2014,0,0,47.4686064527585,23.0681433968746,16.8770197292322,0,6300,0,26.3462120433062,29525.8622083054,0,4.88431200940215
15030101,2013-11-01,2013,11,2014,0,0,21.188854096486,16.3860036683694,22.2150597118217,0,6300,0,26.3462120433062,29525.8622083054,0,8.5194469992957
15030101,2013-12-01,2013,12,2014,0,0,11.3856116691461,12.3817958633007,2.97181176667506,0,6300,0,26.3462120433062,29525.8622083054,0,19.8872332811402
15030101,2014-01-01,2014,1,2014,0,0,11.3271349060994,13.2532075564856,14.9977013769516,0,6300,0,26.3462120433062,29525.8622083054,0,17.9734905440416
15030101,2014-02-01,2014,2,2014,0,0,34.8614283474592,10.8747436774956,74.6289118861297,0,6300,0,26.3462120433062,29525.8622083054,0,9.37419472429712
15030101,2014-03-01,2014,3,2014,0,0,35.8318803800986,16.8370078340062,7.98453422325917,0,6300,0,26.3462120433062,29525.8622083054,0,7.19563002690984
15030101,2014-04-01,2014,4,2014,0,0,21.0578331006261,21.3825029500325,12.8632525429257,0,6300,0,26.3462120433062,29525.8622083054,0,2.81810585400291
15030101,2014-05-01,2014,5,2014,0,0,3.21456894118953,27.2202626041384,1.92588240076965,0,6300,0,26.3462120433062,29525.8622083054,0,0
15030101,2014-06-01,2014,6,2014,0,0,0.0114163483035802,32.5955396916317,NA,0,6300,0,26.3462120433062,29525.8622083054,0,0.288397154000397
15030101,2014-07-01,2014,7,2014,0,0,1.90381412585717,34.3303767504823,5.09721120570143,0,6300,0,26.3462120433062,29525.8622083054,0,7.48882716398276
15030101,2014-08-01,2014,8,2014,0,0,8.04697037382102,34.069906313307,6.68890651077648,0,6300,0,26.3462120433062,29525.8622083054,0,15.6997835501355
15030101,2014-09-01,2014,9,2014,0,0,13.4848979330117,30.6127015646911,20.6051900794208,0,6300,0,26.3462120433062,29525.8622083054,0,1.8973031899287
15030101,2014-10-01,2014,10,2015,0,0,12.4780045632273,23.3743685208835,5.0485041022698,0,6300,0,26.3462120433062,29525.8622083054,0,4.88431200940215
15030101,2014-11-01,2014,11,2015,0,0,9.06953292861012,17.5661928695288,19.3525819564037,0,6300,0,26.3462120433062,29525.8622083054,0,8.5194469992957
15030101,2014-12-01,2014,12,2015,0,0,9.84449523842105,10.6358633036649,7.18216784305976,0,6300,0,26.3462120433062,29525.8622083054,0,19.8872332811402
15030101,2015-01-01,2015,1,2015,0,0,6.57817507575338,12.9972298368923,1.33273533427012,0,6300,0,28.5531189789637,30564.8765602801,0,17.9734905440416
15030101,2015-02-01,2015,2,2015,0,0,21.952835364081,12.8018684387207,47.3091834650839,0,6300,0,28.5531189789637,30564.8765602801,0,9.37419472429712
15030101,2015-03-01,2015,3,2015,0,0,38.5535059305338,17.8643729917465,30.610957763468,0,6300,0,28.5531189789637,30564.8765602801,0,7.19563002690984
15030101,2015-04-01,2015,4,2015,0,0,17.0094156313401,21.969354686248,5.92294807352344,0,6300,0,28.5531189789637,30564.8765602801,0,2.81810585400291
15030101,2015-05-01,2015,5,2015,0,0,0.375215286703316,25.745743926169,NA,0,6300,0,28.5531189789637,30564.8765602801,0,0
15030101,2015-06-01,2015,6,2015,0,0,0.554194761357274,30.1995396618966,0.559458564987905,0,6300,0,28.5531189789637,30564.8765602801,0,0.288397154000397
15030101,2015-07-01,2015,7,2015,0,0,3.66397273620287,34.3097036508413,6.95586047669936,0,6300,0,28.5531189789637,30564.8765602801,0,7.48882716398276
15030101,2015-08-01,2015,8,2015,0,0,3.50957816516715,33.6691037464379,0.541409777512154,0,6300,0,28.5531189789637,30564.8765602801,0,15.6997835501355
15030101,2015-09-01,2015,9,2015,0,0,0.651102098242915,30.1274219454252,0.42902641285504,0,6300,0,28.5531189789637,30564.8765602801,0,1.8973031899287
15030101,2015-10-01,2015,10,2016,0,0,0.0372606955182591,21.5067550469865,0.0731756343778964,0,6300,0,28.5531189789637,30564.8765602801,0,4.88431200940215
15030101,2015-11-01,2015,11,2016,0,0,8.4809532181854,17.0455395977314,16.5230602833718,0,6300,0,28.5531189789637,30564.8765602801,0,8.5194469992957
15030101,2015-12-01,2015,12,2016,0,0,9.75655327381996,11.6693760647076,5.51230432197931,0,6300,0,28.5531189789637,30564.8765602801,0,19.8872332811402
15030101,2016-01-01,2016,1,2016,0,0,20.0235640714375,11.3036570811686,41.3549373671042,0,6300,0,28.5531189789637,30564.8765602801,0,17.9734905440416
15030101,2016-02-01,2016,2,2016,0,0,29.8966912792279,12.0508076958695,57.925295798697,0,6300,0,28.5531189789637,30564.8765602801,0,9.37419472429712
15030101,2016-03-01,2016,3,2016,0,0,44.9929411512155,16.461909594666,34.1442086199837,0,6300,0,28.5531189789637,30564.8765602801,0,7.19563002690984
15030101,2016-04-01,2016,4,2016,0,0,21.8403161165519,21.9138987849309,0.0966255736645614,0,6300,0,28.5531189789637,30564.8765602801,0,2.81810585400291
15030101,2016-05-01,2016,5,2016,0,0,0.650328785333064,25.5889542724004,0.0873351233508401,0,6300,0,28.5531189789637,30564.8765602801,0,0
15030101,2016-06-01,2016,6,2016,0,0,4.46245843799974,31.0359544959435,4.60108293514649,0,6300,0,28.5531189789637,30564.8765602801,0,0.288397154000397
15030101,2016-07-01,2016,7,2016,0,0,4.30491154327873,35.0716920005477,4.98748600225888,0,6300,0,28.5531189789637,30564.8765602801,0,7.48882716398276
15030101,2016-08-01,2016,8,2016,0,0,1.21783888180439,36.6316944358959,0.48638767231104,0,6300,0,28.5531189789637,30564.8765602801,0,15.6997835501355
15030101,2016-09-01,2016,9,2016,0,0,0.833930006611716,30.27254294371,0.866767605613439,0,6300,0,28.5531189789637,30564.8765602801,0,1.8973031899287
15030101,2016-10-01,2016,10,2017,0,0,5.52292541177572,25.0699727780175,6.74125122423955,0,6300,0,28.5531189789637,30564.8765602801,0,4.88431200940215
15030101,2016-11-01,2016,11,2017,0,0,2.81656775127885,18.5397721823668,3.64880240899197,0,6300,0,28.5531189789637,30564.8765602801,0,8.5194469992957
15030101,2016-12-01,2016,12,2017,0,0,6.36166368619754,12.2839313137916,6.00979653935155,0,6300,0,28.5531189789637,30564.8765602801,0,19.8872332811402
15030101,2017-01-01,2017,1,2017,0,0,7.26980268149279,11.2911566419578,12.2560101974842,0,6300,0,28.5531189789637,30564.8765602801,0,17.9734905440416
15030101,2017-02-01,2017,2,2017,0,0,19.4480899013006,14.9281611096728,22.7383947843592,0,6300,0,28.5531189789637,30564.8765602801,0,9.37419472429712
15030101,2017-03-01,2017,3,2017,0,0,62.6266179783986,16.3765474078082,116.835586644872,0,6300,0,28.5531189789637,30564.8765602801,0,7.19563002690984
15030101,2017-04-01,2017,4,2017,0,0,30.2908589564837,21.5492501439804,4.87278480372319,0,6300,0,28.5531189789637,30564.8765602801,0,2.81810585400291
15030101,2017-05-01,2017,5,2017,0,0,2.36174382976768,24.8864443189749,0.422059189908655,0,6300,0,28.5531189789637,30564.8765602801,0,0
15030101,2017-06-01,2017,6,2017,0,0,1.12741923402186,32.4376747092223,1.24749001947987,0,6300,0,28.5531189789637,30564.8765602801,0,0.288397154000397
15030101,2017-07-01,2017,7,2017,0,0,1.64539097563546,33.6308223222681,4.7371076922462,0,6300,0,28.5531189789637,30564.8765602801,0,7.48882716398276
15030101,2017-08-01,2017,8,2017,0,0,9.03292273729137,35.1708872830602,8.02568832328172,0,6300,0,28.5531189789637,30564.8765602801,0,15.6997835501355
15030101,2017-09-01,2017,9,2017,0,0,3.54501122365419,32.6304476067959,1.8925165185045,0,6300,0,28.5531189789637,30564.8765602801,0,1.8973031899287
15030101,2017-10-01,2017,10,2018,0,0,26.7986753289561,23.0746745296507,29.3018644698083,0,6300,0,28.5531189789637,30564.8765602801,0,4.88431200940215
15030101,2017-11-01,2017,11,2018,0,0,4.56483447413462,15.1460788668119,4.4435333773794,0,6300,0,28.5531189789637,30564.8765602801,0,8.5194469992957
15030101,2017-12-01,2017,12,2018,0,0,6.02182261510394,12.9317915544912,12.8194390232915,0,6300,0,28.5531189789637,30564.8765602801,0,19.8872332811402
15030101,2018-01-01,2018,1,2018,0,0,13.079786033083,8.99912303233562,44.0472037414566,0.0382870141044259,6300,0,28.5531189789637,30564.8765602801,0,17.9734905440416
15030101,2018-02-01,2018,2,2018,0,0,27.9673944597061,13.5620093377082,15.89921916121,0,6300,0,28.5531189789637,30564.8765602801,0,9.37419472429712
15030101,2018-03-01,2018,3,2018,0,0,22.5796942082735,17.0216659962392,8.90629252320939,0,6300,0,28.5531189789637,30564.8765602801,0,7.19563002690984
15030101,2018-04-01,2018,4,2018,0,0,9.2089676293531,20.963437875601,3.49932663214216,0,6300,0,28.5531189789637,30564.8765602801,0,2.81810585400291
15030101,2018-05-01,2018,5,2018,0,0,0.0943756074182643,28.9362117265649,0.175195599877043,0,6300,0,28.5531189789637,30564.8765602801,0,0
15030101,2018-06-01,2018,6,2018,0,0,0.440748777285732,30.7611752945337,0.454140513375885,0,6300,0,28.5531189789637,30564.8765602801,0,0.288397154000397
15030101,2018-07-01,2018,7,2018,0,0,0.0090728708698052,35.1016277682397,NA,0,6300,0,28.5531189789637,30564.8765602801,0,7.48882716398276
15030101,2018-08-01,2018,8,2018,0,0,2.72830749339225,33.0898346325896,2.98520672150202,0,6300,0,28.5531189789637,30564.8765602801,0,15.6997835501355
15030101,2018-09-01,2018,9,2018,0,0,35.9363748493443,28.8450664891953,46.141166276184,0,6300,0,28.5531189789637,30564.8765602801,0,1.8973031899287
15030101,2018-10-01,2018,10,2019,0,0,14.407539005291,24.6316304474256,12.7497952206704,0,6300,0,28.5531189789637,30564.8765602801,0,4.88431200940215
15030101,2018-11-01,2018,11,2019,0,0,25.3420010501376,16.2442128108098,60.3605664221636,0,6300,0,28.5531189789637,30564.8765602801,0,8.5194469992957
15030101,2018-12-01,2018,12,2019,0,0,17.8414251790597,11.1003109915381,18.8240461337386,0,6300,0,28.5531189789637,30564.8765602801,0,19.8872332811402
15030101,2019-01-01,2019,1,2019,0,0,15.0094298080756,12.2460879342432,4.99461754804578,0,6300,0,28.5531189789637,30564.8765602801,0,17.9734905440416
15030101,2019-02-01,2019,2,2019,0,0,35.7816414099473,14.4180753267729,65.4920204760508,0,6300,0,28.5531189789637,30564.8765602801,0,9.37419472429712
15030101,2019-03-01,2019,3,2019,0,0,36.371799927606,15.9303449228443,55.6603615417502,0,6300,0,28.5531189789637,30564.8765602801,0,7.19563002690984
15030101,2019-04-01,2019,4,2019,0,0,36.4864872812652,20.8550608864809,0.687656607067372,0,6300,0,28.5531189789637,30564.8765602801,0,2.81810585400291
15030101,2019-05-01,2019,5,2019,0,0,2.98280639581799,28.1567612035103,NA,0,6300,0,28.5531189789637,30564.8765602801,0,0
15030101,2019-06-01,2019,6,2019,0,0,0.094444948280657,31.6203902650491,0.30678615994475,0,6300,0,28.5531189789637,30564.8765602801,0,0.288397154000397
15030101,2019-07-01,2019,7,2019,0,0,2.15773204045844,34.7504391653662,2.27424930858188,0,6300,0,28.5531189789637,30564.8765602801,0,7.48882716398276
15030101,2019-08-01,2019,8,2019,0,0,1.13965035655639,34.8264657751798,1.37575593298834,0,6300,0,28.5531189789637,30564.8765602801,0,15.6997835501355
15030101,2019-09-01,2019,9,2019,0,0,5.5915237155077,30.8298725382488,7.38774347220862,0,6300,0,28.5531189789637,30564.8765602801,0,1.8973031899287
15030101,2019-10-01,2019,10,2020,0,0,1.84646916446056,27.9975835530398,0.337563138248243,0,6300,0,28.5531189789637,30564.8765602801,0,4.88431200940215
15030101,2019-11-01,2019,11,2020,0,0,12.8077764868692,15.7669109481421,43.2633562787854,0,6300,0,28.5531189789637,30564.8765602801,0,8.5194469992957
15030101,2019-12-01,2019,12,2020,0,0,17.9427432943995,11.0040489707928,12.9181725311516,0,6300,0,28.5531189789637,30564.8765602801,0,19.8872332811402
