"huc8","year","month","year_wtr","Power_diverted","consumtive_diverted","Forest_pct","prcp_sum","et_mean","swe_mean","inflow_wtr_mm","sum_cap_af","tmean","elevation","mng_medhigh_10yr_pct","BurnSev34_10yr_pct","pop_den","weighted_median_income","project","P_ET"
15030101,2010,10,2011,0,0,0,28.5168821338934,14.560834106491,0,23.2740006376421,6300,22.1752204720693,0,0,0,1.517622590065,30357.0572242526,0,13.9560480274024
15030101,2010,11,2011,0,0,0,0,9.27713174367776,0,0,6300,14.6974448889151,0,0,0,1.517622590065,30357.0572242526,0,-9.27713174367776
15030101,2010,12,2011,0,0,0,35.9038520670644,10.1137810551407,0,99.879010001027,6300,12.3252302527255,0,0,0,1.517622590065,30357.0572242526,0,25.7900710119237
15030101,2011,1,2011,0,99680.3,0,0,13.5501678510616,0,0,6300,11.1525197475196,0,0,0,1.1179027557373,30357.0572242526,0,-13.5501678510616
15030101,2011,2,2011,0,66631.2,0,30.5526646208818,14.8002252713193,0,13.4697408422997,6300,10.8538650118522,0,0,0,1.1179027557373,30357.0572242526,0,15.7524393495625
15030101,2011,3,2011,0,89840.3,0,4.4481469220277,21.2763482449606,0,0,6300,16.7194067897329,0,0,0,1.1179027557373,30357.0572242526,0,-16.8282013229329
15030101,2011,4,2011,0,43460.1,0,5.14793169777129,15.0171830152834,0,0,6300,20.2498940142864,0,0,0,1.1179027557373,30357.0572242526,0,-9.86925131751211
15030101,2011,5,2011,0,102304.3,0,10.2851114481745,19.6925459613876,0,0,6300,22.9970915180107,0,0,0,1.1179027557373,30357.0572242526,0,-9.4074345132131
15030101,2011,6,2011,0,91158.3,0,0,13.8082553825318,0,0,6300,29.5245486027731,0,0,0,1.1179027557373,30357.0572242526,0,-13.8082553825318
15030101,2011,7,2011,0,107346.3,0,15.499495230474,15.5387869490827,0,0,6300,32.9551811081365,0,0,0,1.1179027557373,30357.0572242526,0,-0.0392917186087001
15030101,2011,8,2011,0,108433.3,0,0,15.6124795798425,0,0,6300,34.4811621632925,0,0,0,1.1179027557373,30357.0572242526,0,-15.6124795798425
15030101,2011,9,2011,0,98652.3,0,28.2759791255909,14.7769269226465,0,12.7902234033025,6300,29.794755236567,0,0,0,1.1179027557373,30357.0572242526,0,13.4990522029444
15030101,2011,10,2012,0,102399.3,0,6.69848290684263,11.8395181662402,0,3.86840923873315,6300,22.8626374226964,0,0,0,1.1179027557373,30357.0572242526,0,-5.14103525939757
15030101,2011,11,2012,0,98413.3,0,12.2196933174714,9.56713438002982,0,4.00269720511468,6300,14.3009686149622,0,0,0,1.1179027557373,30357.0572242526,0,2.65255893744158
15030101,2011,12,2012,0,93274.3,0,20.7838058297435,8.52574892756138,0,6.86873996584071,6300,9.3831268883251,0,0,0,1.1179027557373,30357.0572242526,0,12.2580569021821
15030101,2012,1,2012,0,54645.2,0,0.711163574159266,8.59222140892552,0,0,6300,12.3146928258341,0,0,0,1.14235258102417,29288.063574916,0,-7.88105783476625
15030101,2012,2,2012,0,49143.2,0,6.05615569479922,13.2213648637664,0,0,6300,13.2868733282391,0,0,0,1.14235258102417,29288.063574916,0,-7.16520916896718
15030101,2012,3,2012,0,21531.1,0,4.43202593052617,13.6889620254192,0,6.26882056232105,6300,16.388267894566,0,0,0,1.14235258102417,29288.063574916,0,-9.25693609489303
15030101,2012,4,2012,0,97207.3,0,14.0413635900713,13.9865763912862,0,15.576275673184,6300,21.2726097346152,0,0,0,1.14235258102417,29288.063574916,0,0.0547871987851014
15030101,2012,5,2012,0,100058.3,0,0,14.396353798559,0,0,6300,27.067358435134,0,0,0,1.14235258102417,29288.063574916,0,-14.396353798559
15030101,2012,6,2012,0,96743.3,0,0,15.7499099239281,0,0,6300,31.2239862758566,0,0,0,1.14235258102417,29288.063574916,0,-15.7499099239281
15030101,2012,7,2012,0,101162.3,0,64.8868633074514,18.6008842636976,0,32.4960149855092,6300,32.4187138592959,0,0,0,1.14235258102417,29288.063574916,0,46.2859790437538
15030101,2012,8,2012,0,100235.3,0,10.462147773803,19.315851747292,0,0,6300,33.7096061962059,0,0,0,1.14235258102417,29288.063574916,0,-8.853703973489
15030101,2012,9,2012,0,74027.2,0,7.2067931562598,16.9114434019597,0,0,6300,30.352160737257,0,0,0,1.14235258102417,29288.063574916,0,-9.7046502456999
15030101,2012,10,2013,0,14589,0,13.8057111318538,10.1920125893494,0,10.4989494855668,6300,22.9647156865072,0,0,0,1.14235258102417,29288.063574916,0,3.6136985425044
15030101,2012,11,2013,0,14103,0,0,7.81482759490054,0,0,6300,16.6240272753636,0,0,0,1.14235258102417,29288.063574916,0,-7.81482759490054
15030101,2012,12,2013,0,15574,0,35.3173480555611,8.95469725213047,0,29.6046289754673,6300,10.9830204490132,0,0,0,1.14235258102417,29288.063574916,0,26.3626508034306
15030101,2013,1,2013,0,57146.2,0,17.4363593540129,11.3908369675592,0,8.71834920064153,6300,9.51171198821398,0,0,0,1.25598812103271,29606.0055166616,0,6.0455223864537
15030101,2013,2,2013,0,7378,0,5.08162715604861,15.8727321703837,0,0,6300,11.5228396702093,0,0,0,1.25598812103271,29606.0055166616,0,-10.7911050143351
15030101,2013,3,2013,0,97929.3,0,10.291891234535,18.5918230104229,0,0,6300,18.6061010742074,0,0,0,1.25598812103271,29606.0055166616,0,-8.2999317758879
15030101,2013,4,2013,0,84474.3,0,0,14.1950636671058,0,0,6300,21.423897688034,0,0,0,1.25598812103271,29606.0055166616,0,-14.1950636671058
15030101,2013,5,2013,0,97143.3,0,0,14.8548737119653,0,0,6300,25.8570460194175,0,0,0,1.25598812103271,29606.0055166616,0,-14.8548737119653
